云南频道,#genre#
正蓝旗,http://123.179.62.61:4022/rtp/239.29.0.147:5000$内蒙古电信-组播1
东乌旗,http://123.179.62.61:4022/rtp/239.29.0.180:5000$内蒙古电信-组播1
土左旗,http://123.179.62.61:4022/rtp/239.29.0.188:5000$内蒙古电信-组播1
太仆寺旗,http://123.179.62.61:4022/rtp/239.29.0.154:5000$内蒙古电信-组播1
科右中旗,http://123.179.62.61:4022/rtp/239.29.0.178:5000$内蒙古电信-组播1
正镶白旗,http://123.179.62.61:4022/rtp/239.29.0.153:5000$内蒙古电信-组播1
扎赉特旗,http://123.179.62.61:4022/rtp/239.29.0.185:5000$内蒙古电信-组播1
察右中旗,http://123.179.62.61:4022/rtp/239.29.1.106:5000$内蒙古电信-组播1
喀喇沁县,http://123.179.62.61:4022/rtp/239.29.1.150:5000$内蒙古电信-组播1
额尔古纳,http://123.179.62.61:4022/rtp/239.29.1.132:5000$内蒙古电信-组播1
和林格尔,http://123.179.62.61:4022/rtp/239.29.0.183:5000$内蒙古电信-组播1
克什克腾旗,http://123.179.62.61:4022/rtp/239.29.1.110:5000$内蒙古电信-组播1
内蒙古购物,http://123.179.62.61:4022/rtp/239.29.0.1:5000$内蒙古电信-组播1
IPTV3综艺,http://123.179.62.61:4022/rtp/239.29.1.18:5001$内蒙古电信-组播1
IPTV5体育,http://123.179.62.61:4022/rtp/239.29.1.10:5001$内蒙古电信-组播1
IPTV6华数电影,http://123.179.62.61:4022/rtp/239.29.1.20:5001$内蒙古电信-组播1
IPTV8电视剧,http://123.179.62.61:4022/rtp/239.29.1.21:5001$内蒙古电信-组播1
内蒙古频道八分屏,http://123.179.62.61:4022/rtp/239.29.1.118:5000$内蒙古电信-组播1
十分屏1,http://123.179.62.61:4022/rtp/239.29.1.119:5000$内蒙古电信-组播1
十分屏2,http://123.179.62.61:4022/rtp/239.29.1.117:5000$内蒙古电信-组播1
十分屏3,http://123.179.62.61:4022/rtp/239.29.1.116:5000$内蒙古电信-组播1

北京频道,#genre#
北京卫视,http://115.171.216.32:4000/rtp/225.1.8.21:8002$北京电信-组播1
北京文艺频道,http://115.171.216.32:4000/udp/225.1.8.22:8002$北京电信-组播1
北京纪实科教,http://115.171.216.32:4000/udp/225.1.8.105:8002$北京电信-组播1
北京影视频道,http://115.171.216.32:4000/udp/225.1.8.82:8000$北京电信-组播1
北京财经频道,http://115.171.216.32:4000/udp/225.1.8.106:8002$北京电信-组播1
北京体育休闲,http://115.171.216.32:4000/udp/225.1.8.23:8002$北京电信-组播1
北京生活频道,http://115.171.216.32:4000/udp/225.1.8.108:8002$北京电信-组播1
北京新闻频道,http://115.171.216.32:4000/udp/225.1.8.83:8000$北京电信-组播1
北京卡酷少儿,http://115.171.216.32:4000/udp/225.1.8.35:8000$北京电信-组播1
