20组播,#genre#
四川乡村,http://www.zhms.tk:5050/udp/239.94.0.77:5140$四川电信-组播2
四川妇儿,http://www.zhms.tk:5050/udp/239.94.0.75:5140$四川电信-组播2
四川影视文艺,http://www.zhms.tk:5050/udp/239.94.0.73:5140$四川电信-组播2
四川文化旅游,http://www.zhms.tk:5050/udp/239.94.0.71:5140$四川电信-组播2
四川新闻,http://www.zhms.tk:5050/udp/239.94.0.72:5140$四川电信-组播2
四川星空购物,http://www.zhms.tk:5050/udp/239.94.0.74:5140$四川电信-组播2
四川科教,http://www.zhms.tk:5050/udp/239.94.0.76:5140$四川电信-组播2
四川经济,http://www.zhms.tk:5050/udp/239.94.0.70:5140$四川电信-组播2
凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.52:5140$四川电信-组播2
凤凰中文,http://www.zhms.tk:5050/udp/239.94.2.51:5140$四川电信-组播2
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.49:5140$四川电信-组播2
凤凰资讯,http://www.zhms.tk:5050/udp/239.94.2.50:5140$四川电信-组播2
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.40:5140$四川电信-组播2
CGTN英语,http://www.zhms.tk:5050/udp/239.94.0.22:5140$四川电信-组播2
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.61:5140$四川电信-组播2
CGTN西班牙语,http://www.zhms.tk:5050/udp/239.94.1.65:5140$四川电信-组播2
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.62:5140$四川电信-组播2
CGTN法语,http://www.zhms.tk:5050/udp/239.94.1.66:5140$四川电信-组播2
CETV-1综合教育,http://www.zhms.tk:5050/udp/239.94.1.2:5140$四川电信-组播2
CETV-2空中课堂,http://www.zhms.tk:5050/udp/239.94.1.19:5140$四川电信-组播2
CETV-4职业教育,http://www.zhms.tk:5050/udp/239.94.1.20:5140$四川电信-组播2
CHC家庭影院,http://www.zhms.tk:5050/udp/239.94.1.173:5140$四川电信-组播2
CHC影迷电影,http://www.zhms.tk:5050/udp/239.94.1.174:5140$四川电信-组播2
CHC动作电影,http://www.zhms.tk:5050/udp/239.94.1.175:5140$四川电信-组播2
